,Acridi,AgaGut,Aphidi,ArcCinA,ArcCinJ,AtheriL,BaeSpp,BemDec,BemFas,BemPun,BemTes,BraMon,CeratoA,CeratoL,ChironL,ChironP,CicHyb,Clubio,CoccinA,ColeopA,ColeopL,Curcu1A,Curcu2A,DinFerr,DinMegA,DinMegL,Dipte1L,Dipte2L,DipterA,DruDis,Dysder,ElaterA,ElmidaA,ElmidaL,Entomo,EphDan,EphemeA,Formi1A,Formi1W,Formi2,GamSpp,GloSpp,GyriniA,HelSpp,HemiptA,HexSpp,Hirudi,Hydrom,Hydrac,HydropL,HydSppL,HydSppP,Hymeno,LabRip,LepidoA,LeuSpp,LioQua,MicMin,Mirida,NebPic,OchRos,Oligoc,OreSppA,OreSppL,PaeRub,ParWag,PerAer,PhiRuf,PirLat,Pisaur,ProSpp,RhaSpp,RhiSpp,RhyHir,RhyTriL,RhyTriP,ScoGra,SerIgn,SimuliL,TabaniL,ThiDil,Thomis,Thysan,TipSpp,TipuliA,TrichoA
S1/A1-P,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1/A2-P,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
S1/A3-P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1/A4-P,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
S1/A5-P,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,9,0,5,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
S1/A6-P,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,1,0
S1/A7-P,0,0,2,0,0,0,0,9,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31,2,3,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,0
S1/B1-P,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,9,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,10,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
S1/B2-P,0,0,0,0,0,0,0,2,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
S1/B3-P,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,2,0
S1/B4-P,0,0,4,1,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
S1/B5-P,0,0,1,0,0,0,0,8,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,7,13,3,13,1,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,2,0
S1/B6-P,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1/B7-P,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S2/A1-P,0.5,0,0,1.5,0,0,0,1,1,0,0,0,0,0,0,0,0,1.5,0.5,1,0,0,0.5,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4.5,0,0,0,0,0.5,6.5,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0
S2/A2-P,0,0,0.5,0,0,0,0,0,23,17.5,1,0,1,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,11,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2.5,0,0,0,32,0,0,0,1,0.5
S2/A3-P,0,0,1,0,0,0,0,4,4,0,0,0,2,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,0,1,0,0,1,0.5,0,0,0,8,6,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.5,0
S2/A4-P,0,0,0,0,0,0,0,2,1.5,8.5,0.5,0,2,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,0,0,0,0,0,0.5,4,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
S2/A5-P,0,0,0,0,0,0,0,4.5,4,4,0.5,0,3.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,1,2,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,2.5,0,0,0,0,0
S2/A6-P,0,0,0.5,0,0,0,0,1,33.5,53,6,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,0,0,0,0.5,1,0,3.5,0.5,0,0,0,0,0,0,0,2,0,0,0,37.5,0,0,0,1,0.5
S2/A7-P,0,0,1,0,0.5,0,0,24.5,3,8.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,2.5,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S2/B1-P,0,0,0,2,37.5,0,0,0.5,0,2.5,1.5,0,2,0,0,0,0,0,0.5,3,0,0,0,0,0,0,1,0.5,2.5,0,1.5,0.5,0,0,0,0,0,2,0,3.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0,11.5,11.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S2/B2-P,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,6,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,3,1.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0
S2/B3-P,0,0,0,0,0,0,0,0.5,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0.5,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0
S2/B4-P,0,0,0,1,0,0,0,4,0,13.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,3.5,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,4,0,0,0.5,0,0,0,0,0,2.5,0,0,0,0,0,0.5,0,0,0,0,4,4,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0
S2/B5-P,0,0,0,0,0.5,0,0,14,0,19.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,3.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5,3.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0
S2/B6-P,0,0,0,1.5,0,0,0,5.5,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,6,0,0.5,0,0,0
S2/B7-P,0,0,0,0,0,0,0,5,0,24,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,2.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2.5,0.5,0,0,0,0
S3/A1-P,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0.75,0,0.5,0,0,0.25,0.5,0,0,1.5,0,0,0,0,0,2,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,3.5,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.5,0
S3/A2-P,0,0,0,0,0,0,0,0.5,16.25,17,0,0,2.75,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,17,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.5,0.5,0,0,0,0,0.75,4,0,0,0.75,0,0,0,0,0,0,0,0.75,0,0,0,6.5,0,0,0,1.25,0
S3/A3-P,0,0,0.25,0.25,0,0,0,2,0.75,0.5,0.25,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25,0,0,2,0,0,0.5,0,0,0,0,1.75,5,0.25,0.25,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,0
S3/A4-P,0,0,0.25,0,0,0,0,1.5,3.5,0.5,0.75,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.5,4,0,0,1.25,0,0,0,0,0,0,0,0.25,4.25,0,0,2.25,0,0,0,0,0,0,0,0.75,0,0,0,1,0,0,0,2.25,0
S3/A5-P,0,0,0.75,0,0,0,0,0.25,0.5,0.5,0,0,2,0,0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0.75,0,0,0,0,0.75,8.25,0.25,0,1.75,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
S3/A6-P,0,0,0,0.25,0,0,0,1.5,15,19.5,0,0,13.75,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.75,0,0,3,0,0.25,0.5,0,0,0,0,0.5,1.25,0,0.75,0.75,0,0,0,0,0,0,0,1.5,0,0,0,7.5,0,0,0,4,0
S3/A7-P,0,0,0,0,0,0,0,9.75,0.25,0.75,0,0,0.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.5,0,0,0,0,0.5,9,0.75,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.25,0
S3/B1-P,0,0,0.75,0.5,36.75,0,0,2.75,0.25,0.5,0,0,1.5,0,0,0,0.25,0,1.25,1,0,0,0,0,0,0,0.75,0,1,0,0,1.25,0,0,0,0,0,0,0,2.25,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,1.75,12.75,0.25,0.75,3,0,0,0,0,0,0,0,0.5,0,0,0,1.5,0,0,0,0,0
S3/B2-P,0,0,0.25,0,0,0,0,0.5,9.25,5.25,0,0,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0.5,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0.25,4.25,0,0,0.5,0,0.5,0.25,0,0,0,0,2.75,4,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,1.5,0,0,0,0.25,0
S3/B3-P,0,0,0.25,0,0,0,0,1.25,0.75,1.5,0,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0.25,0,0,0,0,0,0.75,4.75,0,0,2.25,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,1,0
S3/B4-P,0,0,0,0.25,0,0,0,2,3.75,3.75,0.25,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,2.5,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,5.75,0,0,0.25,0,0,0,0,1.25,3.75,1,0,1.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75,0
S3/B5-P,0,0,0.25,0.5,0,0,0,4,0.75,1.75,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0.5,3.25,0.5,0.25,2,0,0,0,0,0,0,0,1.75,0,0,0,0.25,0,0,0,0.25,0
S3/B6-P,0,0,0,0,0,0,0,4.5,2.25,11,0.25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0,2.75,5.75,0,0,1.5,0,0,0,0,0,0,0,0.75,0,0,0,0.5,0,0,0,2,0
S3/B7-P,0,0,0,0,0,0,0,7.25,2,7.5,0.5,0,2,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0.5,0,0,0,0,0,0.25,3.75,0.25,0,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0.5,0,0,0,8.75,0
S4/A1-P,1,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,2.5,0.5,1,0.5,0,0.5,0,0.5,0,0,0,2.5,0,0.5,3,0,0,1.5,0,0,12,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1.5,0,0,0,1,0
S4/A2-P,0,0,0.5,1.5,135.5,0,0,2.5,28.5,1,0.5,0,3.5,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,7,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,2,0,0,0.5,0,1.5,0,0,0,0,0,2,6,1,1,3,0,0,0,0,0,0,0,3.5,0,0,0,3.5,0,0,0,9,0
S4/A3-P,0,0,0,0.5,0,0,0,3,0.5,0,0.5,0,2,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1,6.5,0,0,0.5,0,0,0.5,0,0,0,0,2.5,10.5,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0
S4/A4-P,0,0,0,0.5,5,0,0,1.5,44,2.5,0,0,1,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,0,0,0.5,0,0,0,0,0,0,0,1,7,0.5,0,3,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0
S4/A5-P,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,1,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0
S4/A6-P,0,0,1,0,0,0,0,5.5,14,13.5,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,4.5,0,1,0.5,0,0,0,0,4,1.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.5,0,0,0,7.5,0
S4/A7-P,0,0,2,0,1,0,0,11,0.5,1.5,0,0,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0,0,1,19.5,0.5,0,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,4.5,0
S4/B1-P,1.5,0,0,0,21.5,0,0,11,0,0,0,0,7,0,0,0,0,0.5,0,3,0,0,0.5,0,0,0,0.5,0,1,0,0,2,0,0,0,0,0,0.5,0,5.5,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0.5,0,0,1.5,0,0,2,0,0,0,0,2.5,23,0.5,0.5,10.5,1,0,0,0,0,0,0,1,0,0,0,1.5,0,0,0,1,0
S4/B2-P,0,0,0,0,0,0,0,6.5,4,0,0,0,2.5,0,0,0,0.5,3.5,0,0,0.5,0,0,0,0,0,0,0,6,0,0,3,0,0,0.5,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0.5,0,1,0,0,0,0,0,5,10.5,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,3.5,0,0,0,3,0
S4/B3-P,0,0,0,0.5,0,0,0,2.5,1.5,0,0,0,0,0,0,0,0.5,1,0,1.5,2.5,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,2,16.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
S4/B4-P,0,0,0.5,0,0,0,0,3,2,0.5,0.5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,12.5,0.5,0,2,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,4.5,0
S4/B5-P,0,0,1,0.5,0,0,0,4,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,10.5,0,1,6,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,7,0
